PUMA,CODE
1003,1
4400,1
1008,2
4300,2
1200,3
1300,3
1400,4
1500,4
1600,4
1700,5
1800,5
2001,6
2002,6
2003,6
4005,6
100,7
200,7
500,7
4000,8
4100,8
4200,8
5001,9
6001,9
6002,9
2400,10
5002,10
1001,11
3004,11
4600,11
1002,12
1005,12
3300,12
3400,12
4001,12
4002,12
4006,12
3101,13
3102,13
1900,14
3900,14
4003,14
4004,14
3001,15
3002,15
3003,15
3005,15
2500,16
4500,16
2800,17
2900,17
3200,17
3500,17
600,18
700,18
800,18
900,19
1100,19
300,20
401,20
402,20
1004,21
2100,21
2200,22
2300,22
1006,23
1007,23
2004,23
2600,24
2700,24
3600,25
3700,25
3800,25
